V_Size,Pair_ID,Algorithm,Cost,Mean_Time,StdDev_Time,Mean_Expansions,StdDev_Expansions
1000,7,A*,34.99956656778103,0.000000,0.000000,28.0,0.0
1000,8,A*,77.84948013639786,0.000000,0.000000,138.0,0.0
1000,9,A*,54.27368870664442,0.000000,0.000000,76.0,0.0
1000,0,D* Lite,117.57851447248261,0.005208,0.009021,329.0,0.0
1000,1,D* Lite,32.65854761841073,0.000000,0.000000,34.0,0.0
1000,2,D* Lite,109.55055382973829,0.005208,0.009021,215.0,0.0
1000,3,D* Lite,102.48043290792648,0.000000,0.000000,367.0,0.0
1000,4,D* Lite,99.72925437958895,0.005208,0.009021,160.0,0.0
1000,5,D* Lite,135.00609860341777,0.005208,0.009021,410.0,0.0
1000,6,D* Lite,80.24123063050483,0.000000,0.000000,213.0,0.0
1000,7,D* Lite,34.99956656778103,0.000000,0.000000,28.0,0.0
1000,8,D* Lite,77.84948013639786,0.000000,0.000000,138.0,0.0
1000,9,D* Lite,54.27368870664442,0.000000,0.000000,76.0,0.0
