V_Size,Pair_ID,Algorithm,Cost,Mean_Time,StdDev_Time,Mean_Expansions,StdDev_Expansions
1000,7,A*,51.01396230602818,0.000000,0.000000,34.0,0.0
1000,8,A*,33.934395407174726,0.000000,0.000000,18.0,0.0
1000,9,A*,108.66942049346365,0.000000,0.000000,339.0,0.0
1000,0,D* Lite,64.91017546981993,0.000000,0.000000,81.0,0.0
1000,1,D* Lite,28.66699130947258,0.000000,0.000000,17.0,0.0
1000,2,D* Lite,114.50788241488246,0.000000,0.000000,262.0,0.0
1000,3,D* Lite,inf,0.000000,0.000000,6.0,0.0
1000,4,D* Lite,38.11319370222859,0.000000,0.000000,25.0,0.0
1000,5,D* Lite,44.74172821451332,0.000000,0.000000,50.0,0.0
1000,6,D* Lite,103.70384826206391,0.000000,0.000000,197.0,0.0
1000,7,D* Lite,51.01396230602818,0.000000,0.000000,34.0,0.0
1000,8,D* Lite,33.934395407174726,0.000000,0.000000,18.0,0.0
1000,9,D* Lite,108.66942049346365,0.000000,0.000000,339.0,0.0
